URL,Fiyat,Oda Sayısı,Brüt m2,Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,İlan No
https://www.hepsiemlak.com/antalya-muratpasa-yesildere-satilik/daire/159643-2,2.500.000 TL,2 + 1,80 m2,6 Katlı,1. Kat,Sıfır Bina,Klima,159643-2
https://www.hepsiemlak.com/antalya-muratpasa-gebizli-satilik/daire/128222-2928,3.880.000 TL,2 + 1,100 m2,4 Katlı,4. Kat,11 Yaşında,Kombi,128222-2928
https://www.hepsiemlak.com/antalya-konyaalti-hurma-satilik/daire/36020-859,4.650.000 TL,2 + 0,80 m2,4 Katlı,Yüksek Giriş,12 Yaşında,Klima,36020-859
https://www.hepsiemlak.com/antalya-kepez-kuzeyyaka-satilik/daire/97708-583,2.750.000 TL,2 + 1,87 m2,3 Katlı,Yüksek Giriş,18 Yaşında,Kombi,97708-583
https://www.hepsiemlak.com/antalya-kepez-ayanoglu-satilik/daire/52164-401,3.375.000 TL,2 + 1,85 m2,3 Katlı,Ara Kat,Sıfır Bina,Klima,52164-401
https://www.hepsiemlak.com/antalya-konyaalti-liman-satilik/daire/8560-5641,5.750.000 TL,2 + 1,110 m2,9 Katlı,1. Kat,15 Yaşında,Kombi,8560-5641
https://www.hepsiemlak.com/antalya-muratpasa-guzeloba-satilik/daire/31719-466,4.000.000 TL,1 + 1,70 m2,2 Katlı,Yüksek Giriş,13 Yaşında,Klima,31719-466
https://www.hepsiemlak.com/antalya-muratpasa-guzeloba-satilik/daire/28664-2712,8.100.000 TL,3 + 1,135 m2,6 Katlı,3. Kat,30 Yaşında,Klima,28664-2712
https://www.hepsiemlak.com/antalya-muratpasa-memurevleri-satilik/daire/5779-8993,6.900.000 TL,2 + 1,95 m2,3 Katlı,2. Kat,Sıfır Bina,Kombi,5779-8993
https://www.hepsiemlak.com/antalya-muratpasa-caglayan-satilik/daire/121460-586,16.000.000 TL,3 + 1,170 m2,14 Katlı,13. Kat,16 Yaşında,Klima,121460-586
https://www.hepsiemlak.com/antalya-kepez-goksu-satilik/daire/33100-8998,3.500.000 TL,1 + 1,50 m2,6 Katlı,4. Kat,Sıfır Bina,Kombi,33100-8998
https://www.hepsiemlak.com/antalya-konyaalti-liman-satilik/daire/45399-3375,7.500.000 TL,3 + 1,145 m2,4 Katlı,4. Kat,17 Yaşında,Klima,45399-3375
https://www.hepsiemlak.com/antalya-muratpasa-yildiz-satilik/daire/139287-697,3.190.000 TL,2 + 1,80 m2,7 Katlı,Giriş Katı,3 Yaşında,Kombi,139287-697
https://www.hepsiemlak.com/antalya-konyaalti-altinkum-satilik/daire/153750-50,5.800.000 TL,2 + 1,120 m2,4 Katlı,4. Kat,25 Yaşında,Kombi,153750-50
https://www.hepsiemlak.com/antalya-konyaalti-gursu-satilik/daire/6866-1415,18.000.000 TL,4 + 1,200 m2,8 Katlı,4. Kat,21 Yaşında,Kombi,6866-1415
https://www.hepsiemlak.com/antalya-kepez-selale-satilik/daire/139359-907,3.850.000 TL,2 + 1,110 m2,3 Katlı,Ara Kat,Sıfır Bina,Klima,139359-907
https://www.hepsiemlak.com/antalya-konyaalti-altinkum-satilik/daire/31445-851,9.000.000 TL,3 + 1,200 m2,5 Katlı,5. Kat,20 Yaşında,Klima,31445-851
https://www.hepsiemlak.com/antalya-muratpasa-kisla-satilik/daire/34616-3419,3.499.000 TL,2 + 1,100 m2,5 Katlı,5. Kat,45 Yaşında,Klima,34616-3419
https://www.hepsiemlak.com/antalya-kepez-santral-satilik/daire/117133-765,4.599.000 TL,2 + 1,106 m2,11 Katlı,Giriş Katı,1 Yaşında,Merkezi (Pay Öl...,117133-765
https://www.hepsiemlak.com/antalya-konyaalti-kuskavagi-satilik/daire/45502-2591,8.200.000 TL,3 + 1,150 m2,3 Katlı,3. Kat,16 Yaşında,Kombi,45502-2591
https://www.hepsiemlak.com/antalya-muratpasa-guzeloba-satilik/daire/68118-5651,9.750.000 TL,5 + 1,220 m2,2 Katlı,Bahçe Katı,20 Yaşında,Klima,68118-5651
https://www.hepsiemlak.com/antalya-konyaalti-hurma-satilik/daire/137043-227,4.200.000 TL,2 + 0,80 m2,4 Katlı,Yüksek Giriş,9 Yaşında,Klima,137043-227
https://www.hepsiemlak.com/antalya-muratpasa-kizilarik-satilik/daire/128097-796,4.780.000 TL,3 + 1,115 m2,7 Katlı,7. Kat,11 Yaşında,Klima,128097-796
https://www.hepsiemlak.com/antalya-konyaalti-altinkum-satilik/daire/55020-2749,7.400.000 TL,2 + 1,115 m2,3 Katlı,Ara Kat,18 Yaşında,Kombi,55020-2749
https://www.hepsiemlak.com/antalya-kepez-kutukcu-satilik/daire/132341-154,2.650.000 TL,2 + 1,85 m2,3 Katlı,Yüksek Giriş,Sıfır Bina,Klima,132341-154
https://www.hepsiemlak.com/antalya-kepez-gulveren-satilik/daire/96887-479,3.300.000 TL,2 + 1,95 m2,3 Katlı,2. Kat,15 Yaşında,Klima,96887-479
https://www.hepsiemlak.com/antalya-kepez-selale-satilik/daire/139359-906,4.750.000 TL,3 + 0,135 m2,2 Katlı,Ara Kat,Sıfır Bina,Klima,139359-906
https://www.hepsiemlak.com/antalya-kepez-habibler-satilik/daire/97708-582,3.700.000 TL,3 + 1,125 m2,3 Katlı,Giriş Katı,8 Yaşında,Klima,97708-582
https://www.hepsiemlak.com/antalya-konyaalti-liman-satilik/daire/6866-1394,7.550.000 TL,2 + 1,95 m2,4 Katlı,1. Kat,13 Yaşında,Kombi,6866-1394
https://www.hepsiemlak.com/antalya-kepez-camlibel-satilik/daire/94451-2911,8.900.000 TL,4 + 1,220 m2,3 Katlı,3. Kat,Sıfır Bina,Klima,94451-2911
https://www.hepsiemlak.com/antalya-konyaalti-gursu-satilik/daire/16141-8628,29.450.000 TL,4 + 1,180 m2,4 Katlı,1. Kat,11 Yaşında,Kombi,16141-8628
